ABE,DTW,93,313,1383
PIT,DTW,62,202,1054
MLU,ATL,92,233,2370
ABI,DFW,52,137,4455
DFW,LBB,70,184,1338
LAW,DFW,51,152,2474
LAS,ABQ,85,230,2517
MAF,HOU,80,233,2200
SAT,DAL,59,175,6011
SBN,ORD,49,177,2186
SAN,PHX,69,190,10130
TUS,SAN,70,343,1828
SFO,SMF,50,198,3079
IAH,LCH,48,123,2110
LFT,IAH,62,166,4227
SDF,MDW,66,165,2259
PDX,SEA,52,180,3667
SUN,SLC,57,161,1204
ONT,OAK,70,177,4246
MCI,STL,56,143,2387
ABR,MSP,70,255,1320
MSP,RST,47,176,794
MSP,OMA,72,219,2543
RHI,MSP,63,298,1321
ACT,DFW,44,139,3079
ACV,SFO,72,327,2535
ACY,MYR,82,224,650
MYR,PBG,129,424,101
TPA,FLL,56,165,3802
MCO,MIA,65,167,6024
MCO,ORH,166,624,634
BOS,MVY,40,167,168
AEX,DFW,72,238,1882
ALB,BWI,70,236,3319
PIT,CLT,86,215,4845
BWI,PIT,59,170,1872
PHL,BWI,56,181,14
RDU,PHL,82,410,1656
RNO,LAS,72,184,6383
IAD,PIT,63,218,427
IAD,TTN,105,282,1
IAD,ROA,68,304,10
IAD,UST,116,418,6
ALO,ORD,70,306,1166
DFW,AMA,72,189,2240
LAR,DEN,48,158,1110
CDV,ANC,47,193,654
SEA,SIT,138,367,590
OTZ,OME,45,159,310
HNL,LIH,38,151,11695
HNL,ITO,53,149,9571
HNL,PPG,334,884,213
ANC,ADK,175,485,177
KOA,OGG,35,138,1671
ANC,ADQ,55,161,874
ANC,AKN,59,192,126
ASE,DEN,52,168,2045
SBP,LAX,63,172,2688
ATL,AGS,54,139,4689
MSN,ORD,54,193,6013
FNT,ORD,66,166,3539
SLC,JAC,58,260,1886
EVV,ORD,77,217,3300
SAT,ELP,83,219,1587
ORD,BMI,52,210,1796
ATL,ABY,52,181,1730
BTV,LGA,74,218,88
MSP,FAR,63,270,3419
MCI,LNK,51,130,1
AZO,ORD,53,150,2495
MSP,FSD,62,242,2525
SNA,SMF,80,202,4226
ORD,DSM,78,271,6026
ONT,PHX,69,209,5921
SLC,MSO,89,256,1995
FCA,MSO,54,168,1
MSP,ATW,68,273,1023
AUS,HOU,48,166,2585
JFK,MVY,59,185,242
PWM,JFK,74,201,2281
PHX,LGB,92,256,2
PHL,PVD,71,183,564
PHL,RIC,63,193,12
EWR,PHL,61,185,2
ROC,EWR,75,198,1406
HRL,IAH,71,189,2344
DCA,EWR,73,192,2761
DCA,HPN,69,331,6
MSY,SAT,85,226,475
BNA,CMH,70,186,1245
BNA,RSW,118,297,201
MIA,PBI,49,159,1
TPA,MIA,63,208,3969
EWR,AVP,49,144,103
BDL,BWI,67,207,4292
BFL,SFO,72,243,1285
RIC,LGA,87,238,2566
DEN,BIL,88,258,2188
BIS,MSP,85,226,2976
BJI,MSP,61,152,1329
BLI,SEA,46,223,493
CVG,ORD,77,198,7730
CVG,STL,75,191,97
CMH,MDW,66,201,3566
BOI,OAK,90,229,1314
BOI,GEG,59,172,1159
BOI,PDX,76,270,121
BWI,BUF,66,222,3531
JFK,BWI,74,234,610
CLE,DTW,51,130,1288
BOS,ACK,46,169,232
BPT,DFW,74,319,1820
BQN,MCO,161,637,880
INL,BRD,59,203,4
BRO,DFW,97,343,2005
BRW,FAI,81,312,322
SCC,BRW,48,175,813
BTM,SLC,78,328,1287
BTR,IAH,68,198,4539
BUR,OAK,65,169,7249
LAS,BUR,59,148,6080
SJC,LAS,78,374,5558
MKE,ORD,49,130,9192
SJU,STT,34,139,1386
SJU,STX,38,117,665
STL,OKC,81,216,829
SLC,BZN,78,326,2113
DTW,CAK,55,160,377
YAK,CDV,49,194,652
LGA,CHO,82,338,709
MSN,CID,49,186,1
MSN,MSP,62,216,2504
CIU,DTW,76,361,1192
CLD,LAX,46,200,1254
IAH,CLL,42,131,1364
IAD,GSO,68,201,120
CMI,ORD,56,268,3354
